MAG ID	Completeness	Contamination	Strain heterogeneity	Coverage	Coverage %	Taxonomy
CL03	98.38	0.87	0	211.89	8.26%	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus acetotolerans
CL01	26.1	3.47	18.18	69.0808	2.69%	
CL07	7.94	0	0	64.9675	2.53%	
CL05	7.63	0	0	67.4033	2.63%	
CL04	6.39	0	0	69.5605	2.71%	
CL06	5.03	0	0	63.1013	2.46%	
CL14	4.17	0	0	63.8596	2.49%	
CL24	4.17	0	0	68.7699	2.68%	
CL32	4.17	0	0	64.9782	2.53%	
CL11	3.79	1.72	0	73.4179	2.86%	
CL09	2.9	0.16	0	69.88975	2.72%	
CL34	2.34	0	0	59.58865	2.32%	
CL12	2.04	0	0	54.53165	2.12%	
CL19	1.01	0	0	69.98945	2.73%	
CL17	0.97	0	0	61.1365	2.38%	
CL13	0.93	0	0	68.60355	2.67%	
CL27	0.5	0	0	71.5687	2.79%	
CL16	0.43	0	0	61.65715	2.40%	
CL29	0.31	0	0	69.0489	2.69%	
CL31	0.3	0	0	61.3978	2.39%	
CL10	0.16	0	0	66.67245	2.60%	
CL08	0	0	0	68.5292	2.67%	
CL15	0	0	0	49.69815	1.94%	
CL18	0	0	0	67.9472	2.65%	
CL20	0	0	0	68.6443	2.67%	
CL21	0	0	0	75.3256	2.93%	
CL22	0	0	0	55.5395	2.16%	
CL23	0	0	0	64.54735	2.51%	
CL25	0	0	0	68.21945	2.66%	
CL26	0	0	0	67.6922	2.64%	
CL28	0	0	0	70.59055	2.75%	
CL30	0	0	0	66.4092	2.59%	
CL33	0	0	0	69.58135	2.71%	
CL35	0	0	0	62.8055	2.45%	
CL36	0	0	0	65.6444	2.56%	
CL37	0	0	0	47.37775	1.85%	
