MAG ID	Completeness	Contamination	Strain heterogeneity	Coverage	Coverage %	Taxonomy
CL01	92.47	9.42	43.33	12.5716	0.29%	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Secundilactobacillus;s__Secundilactobacillus collinoides
CL08	44.58	3.22	83.33	20.1414	0.47%	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Oenococcus;s__Oenococcus oeni
CL03	13.01	3.27	100	46.4795	1.08%	
CL34	8.33	0	0	12.169	0.28%	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Oenococcus;s__Oenococcus sp004010835
CL05	8.06	0.31	100	69.6962	1.61%	
CL04	6.6	1.87	100	45.4576	1.05%	
CL12	6.02	6.48	100	47.5802	1.10%	
CL07	5.61	1.87	100	49.55	1.15%	
CL17	5.33	6.9	100	56.605	1.31%	
CL10	4.91	0	0	76.0413	1.76%	
CL13	4.86	2.4	100	46.84345	1.09%	
CL27	4.52	1.87	100	68.5892	1.59%	
CL24	4.17	8.33	100	44.2163	1.02%	
CL37	4.17	4.17	100	56.6863	1.31%	
CL20	3.86	0	0	43.5514	1.01%	
CL40	3.74	0.93	100	44.52985	1.03%	
CL11	2.8	0.93	100	45.6748	1.06%	
CL63	2.8	0.47	0	41.57975	0.96%	
CL33	2.46	0.73	50	46.994	1.09%	
CL23	1.87	0	0	42.4085	0.98%	
CL55	1.46	0	0	50.8005	1.18%	
CL66	1.46	0	0	74.0981	1.72%	
CL06	1.39	1.39	100	48.3176	1.12%	
CL48	1.31	0	0	54.14545	1.25%	
CL22	1.25	0	0	62.4328	1.45%	
CL47	1.25	0	0	46.771	1.08%	
CL54	1.15	0.47	100	59.87795	1.39%	
CL39	0.97	0	0	49.7347	1.15%	
CL67	0.86	0	0	43.4811	1.01%	
CL26	0.6	0.36	100	60.5027	1.40%	
CL58	0.52	0	0	58.5982	1.36%	
CL15	0.38	0.38	100	52.4019	1.21%	
CL16	0.31	0.16	100	43.7274	1.01%	
CL21	0.31	0.16	100	70.6199	1.64%	
CL09	0	0	0	60.85045	1.41%	
CL14	0	0	0	46.5029	1.08%	
CL18	0	0	0	63.94925	1.48%	
CL19	0	0	0	122.8415	2.85%	
CL25	0	0	0	45.8984	1.06%	
CL28	0	0	0	68.95345	1.60%	
CL29	0	0	0	48.87135	1.13%	
CL30	0	0	0	45.134	1.05%	
CL31	0	0	0	44.7699	1.04%	
CL32	0	0	0	56.6818	1.31%	
CL35	0	0	0	59.0891	1.37%	
CL36	0	0	0	78.738	1.82%	
CL38	0	0	0	51.5473	1.19%	
CL41	0	0	0	51.4169	1.19%	
CL42	0	0	0	38.6177	0.89%	
CL43	0	0	0	61.8392	1.43%	
CL44	0	0	0	50.9584	1.18%	
CL45	0	0	0	112.749	2.61%	
CL46	0	0	0	47.54985	1.10%	
CL49	0	0	0	93.6111	2.17%	
CL50	0	0	0	73.828	1.71%	
CL51	0	0	0	44.9528	1.04%	
CL52	0	0	0	46.3738	1.07%	
CL53	0	0	0	43.9029	1.02%	
CL56	0	0	0	77.029	1.78%	
CL57	0	0	0	37.7171	0.87%	
CL59	0	0	0	60.0574	1.39%	
CL60	0	0	0	43.8198	1.02%	
CL61	0	0	0	40.2874	0.93%	
CL62	0	0	0	71.3021	1.65%	
CL64	0	0	0	60.5743	1.40%	
CL65	0	0	0	44.2026	1.02%	
CL68	0	0	0	69.2466	1.60%	
CL69	0	0	0	550.0755	12.74%	
CL70	0	0	0	56.8605	1.32%	
